OBJECTID,DATE,Acute,ICU,Total
209,10/20/2020 10:00:00 AM,341,123,464
210,10/21/2020 10:00:00 AM,332,131,463
211,10/22/2020 10:00:00 AM,333,125,458
212,10/23/2020 10:00:00 AM,336,122,458
213,10/24/2020 10:00:00 AM,346,109,455
214,10/25/2020 10:00:00 AM,343,103,446
215,10/26/2020 10:00:00 AM,344,112,456
216,10/27/2020 10:00:00 AM,366,105,471
217,10/28/2020 10:00:00 AM,387,114,501
218,10/29/2020 10:00:00 AM,382,120,502
219,10/30/2020 10:00:00 AM,387,126,513
220,10/31/2020 10:00:00 AM,394,126,520
221,11/01/2020 10:00:00 AM,396,127,523
222,11/02/2020 10:00:00 AM,396,133,529
223,11/03/2020 10:00:00 AM,419,143,562
224,11/04/2020 10:00:00 AM,441,154,595
225,11/05/2020 10:00:00 AM,431,157,588
226,11/06/2020 10:00:00 AM,457,152,609
227,11/07/2020 10:00:00 AM,479,153,632
228,11/08/2020 10:00:00 AM,492,163,655
229,11/09/2020 10:00:00 AM,539,168,707
230,11/10/2020 10:00:00 AM,585,176,761
231,11/11/2020 10:00:00 AM,612,193,805
232,11/12/2020 10:00:00 AM,664,199,863
233,11/13/2020 10:00:00 AM,706,208,914
234,11/14/2020 10:00:00 AM,703,218,921
235,11/15/2020 10:00:00 AM,700,238,938
236,11/16/2020 10:00:00 AM,748,237,985
237,11/17/2020 10:00:00 AM,791,255,1046
238,11/18/2020 10:00:00 AM,874,270,1144
239,11/19/2020 10:00:00 AM,932,260,1192
240,11/20/2020 10:00:00 AM,946,261,1207
241,11/21/2020 10:00:00 AM,951,278,1229
242,11/22/2020 10:00:00 AM,969,268,1237
243,11/23/2020 10:00:00 AM,987,289,1276
244,11/24/2020 10:00:00 AM,1027,314,1341
245,11/25/2020 10:00:00 AM,1098,308,1406
246,11/26/2020 10:00:00 AM,1114,339,1453
247,11/27/2020 10:00:00 AM,1092,343,1435
248,11/28/2020 10:00:00 AM,1095,351,1446
249,11/29/2020 10:00:00 AM,1102,359,1461
250,11/30/2020 10:00:00 AM,1183,344,1527
251,12/01/2020 10:00:00 AM,1233,350,1583
252,12/02/2020 10:00:00 AM,1219,359,1578
253,12/03/2020 10:00:00 AM,1209,364,1573
254,12/04/2020 10:00:00 AM,1227,367,1594
255,12/05/2020 10:00:00 AM,1219,379,1598
256,12/06/2020 10:00:00 AM,1183,393,1576
257,12/07/2020 10:00:00 AM,1173,388,1561
258,12/08/2020 10:00:00 AM,1257,396,1653
259,12/09/2020 10:00:00 AM,1299,416,1715
260,12/10/2020 10:00:00 AM,1304,416,1720
261,12/11/2020 10:00:00 AM,1313,416,1729
262,12/12/2020 10:00:00 AM,1313,406,1719
263,12/13/2020 10:00:00 AM,1255,424,1679
264,12/14/2020 10:00:00 AM,1338,404,1742
265,12/15/2020 10:00:00 AM,1388,411,1799
266,12/16/2020 10:00:00 AM,1363,399,1762
267,12/17/2020 10:00:00 AM,1308,394,1702
268,12/18/2020 10:00:00 AM,1287,399,1686
269,12/19/2020 10:00:00 AM,1250,385,1635
270,12/20/2020 10:00:00 AM,1256,406,1662
271,12/21/2020 10:00:00 AM,1277,399,1676
272,12/22/2020 10:00:00 AM,1317,400,1717
273,12/23/2020 10:00:00 AM,1357,419,1776
274,12/24/2020 10:00:00 AM,1334,426,1760
275,12/25/2020 10:00:00 AM,1297,424,1721
276,12/26/2020 10:00:00 AM,1261,424,1685
277,12/27/2020 10:00:00 AM,1274,418,1692
278,12/28/2020 10:00:00 AM,1315,423,1738
279,12/29/2020 10:00:00 AM,1305,420,1725
280,12/30/2020 10:00:00 AM,1346,410,1756
281,12/31/2020 10:00:00 AM,1374,399,1773
282,01/01/2021 10:00:00 AM,1346,388,1734
283,01/02/2021 10:00:00 AM,1277,415,1692
284,01/03/2021 10:00:00 AM,1297,412,1709
285,01/04/2021 10:00:00 AM,1333,418,1751
286,01/05/2021 10:00:00 AM,1361,410,1771
287,01/06/2021 10:00:00 AM,1418,444,1862
288,01/07/2021 10:00:00 AM,1407,427,1834
289,01/08/2021 10:00:00 AM,1438,447,1885
290,01/09/2021 10:00:00 AM,1428,449,1877
291,01/10/2021 10:00:00 AM,1440,455,1895
292,01/11/2021 10:00:00 AM,1493,447,1940
293,01/12/2021 10:00:00 AM,1496,456,1952
294,01/13/2021 10:00:00 AM,1475,454,1929
295,01/14/2021 10:00:00 AM,1418,425,1843
296,01/15/2021 10:00:00 AM,1427,421,1848
297,01/16/2021 10:00:00 AM,1409,412,1821
298,01/17/2021 10:00:00 AM,1415,408,1823
299,01/18/2021 10:00:00 AM,1429,421,1850
300,01/19/2021 10:00:00 AM,1464,411,1875
301,01/20/2021 10:00:00 AM,1438,420,1858
302,01/21/2021 10:00:00 AM,1388,424,1812
303,01/22/2021 10:00:00 AM,1344,424,1768
304,01/23/2021 10:00:00 AM,1312,405,1717
305,01/24/2021 10:00:00 AM,1276,392,1668
306,01/25/2021 10:00:00 AM,1274,395,1669
307,01/26/2021 10:00:00 AM,1275,367,1642
308,01/27/2021 10:00:00 AM,1273,374,1647
309,01/28/2021 10:00:00 AM,1260,376,1636
310,01/29/2021 10:00:00 AM,1249,367,1616
311,01/30/2021 10:00:00 AM,1180,380,1560
312,01/31/2021 10:00:00 AM,1107,364,1471
313,02/01/2021 10:00:00 AM,1066,371,1437
314,02/02/2021 10:00:00 AM,1101,366,1467
315,02/03/2021 10:00:00 AM,1124,361,1485
316,02/04/2021 10:00:00 AM,1086,340,1426
317,02/05/2021 10:00:00 AM,1103,341,1444
318,02/06/2021 10:00:00 AM,1082,337,1419
319,02/07/2021 10:00:00 AM,1076,326,1402
320,02/08/2021 10:00:00 AM,1095,318,1413
321,02/09/2021 10:00:00 AM,1051,326,1377
322,02/10/2021 10:00:00 AM,958,324,1282
323,02/11/2021 10:00:00 AM,948,324,1272
324,02/12/2021 10:00:00 AM,899,326,1225
325,02/13/2021 10:00:00 AM,876,316,1192
326,02/14/2021 10:00:00 AM,873,293,1166
327,02/15/2021 10:00:00 AM,828,285,1113
328,02/16/2021 10:00:00 AM,817,293,1110
329,02/17/2021 10:00:00 AM,824,272,1096
330,02/18/2021 10:00:00 AM,769,279,1048
331,02/19/2021 10:00:00 AM,744,272,1016
332,02/20/2021 10:00:00 AM,771,278,1049
333,02/21/2021 10:00:00 AM,689,284,973
334,02/22/2021 10:00:00 AM,716,276,992
335,02/23/2021 10:00:00 AM,720,258,978
336,02/24/2021 10:00:00 AM,711,249,960
337,02/25/2021 10:00:00 AM,709,243,952
338,02/26/2021 10:00:00 AM,698,245,943
339,02/27/2021 10:00:00 AM,670,222,892
340,02/28/2021 10:00:00 AM,628,240,868
341,03/01/2021 10:00:00 AM,669,235,904
342,03/02/2021 10:00:00 AM,664,232,896
343,03/03/2021 10:00:00 AM,635,228,863
344,03/04/2021 10:00:00 AM,640,216,856
345,03/05/2021 10:00:00 AM,620,229,849
346,03/06/2021 10:00:00 AM,600,230,830
347,03/07/2021 10:00:00 AM,603,215,818
348,03/08/2021 10:00:00 AM,577,215,792
349,03/09/2021 10:00:00 AM,577,215,792
350,03/10/2021 10:00:00 AM,585,216,801
351,03/11/2021 10:00:00 AM,579,209,788
352,03/12/2021 10:00:00 AM,570,195,765
353,03/13/2021 10:00:00 AM,577,196,773
354,03/14/2021 10:00:00 AM,564,210,774
355,03/15/2021 10:00:00 AM,576,201,777
356,03/16/2021 10:00:00 AM,592,213,805
357,03/17/2021 10:00:00 AM,579,226,805
358,03/18/2021 10:00:00 AM,575,223,798
359,03/19/2021 10:00:00 AM,598,218,816
360,03/20/2021 10:00:00 AM,648,202,850
361,03/21/2021 10:00:00 AM,648,204,852
362,03/22/2021 10:00:00 AM,661,205,866
363,03/23/2021 10:00:00 AM,695,200,895
364,03/24/2021 10:00:00 AM,691,224,915
365,03/25/2021 10:00:00 AM,696,223,919
366,03/26/2021 10:00:00 AM,701,232,933
367,03/27/2021 10:00:00 AM,709,238,947
368,03/28/2021 10:00:00 AM,735,235,970
369,03/29/2021 10:00:00 AM,775,233,1008
370,03/30/2021 10:00:00 AM,784,245,1029
371,03/31/2021 10:00:00 AM,786,244,1030
372,04/01/2021 10:00:00 AM,777,236,1013
373,04/02/2021 10:00:00 AM,794,251,1045
374,04/03/2021 10:00:00 AM,805,259,1064
375,04/04/2021 10:00:00 AM,875,256,1131
376,04/05/2021 10:00:00 AM,905,260,1165
377,04/06/2021 10:00:00 AM,939,265,1204
378,04/07/2021 10:00:00 AM,923,277,1200
379,04/08/2021 10:00:00 AM,935,281,1216
380,04/09/2021 10:00:00 AM,963,286,1249
381,04/10/2021 10:00:00 AM,959,291,1250
382,04/11/2021 10:00:00 AM,961,279,1240
383,04/12/2021 10:00:00 AM,958,275,1233
384,04/13/2021 10:00:00 AM,968,275,1243
385,04/14/2021 10:00:00 AM,953,283,1236
386,04/15/2021 10:00:00 AM,954,290,1244
387,04/16/2021 10:00:00 AM,936,296,1232
388,04/17/2021 10:00:00 AM,922,288,1210
389,04/18/2021 10:00:00 AM,948,304,1252
390,04/19/2021 10:00:00 AM,965,294,1259
391,04/20/2021 10:00:00 AM,972,310,1282
392,04/21/2021 10:00:00 AM,979,300,1279
393,04/22/2021 10:00:00 AM,935,300,1235
394,04/23/2021 10:00:00 AM,899,289,1188
395,04/24/2021 10:00:00 AM,876,287,1163
396,04/25/2021 10:00:00 AM,867,278,1145
397,04/26/2021 10:00:00 AM,850,265,1115
398,04/27/2021 10:00:00 AM,861,269,1130
399,04/28/2021 10:00:00 AM,821,272,1093
400,04/29/2021 10:00:00 AM,813,267,1080
401,04/30/2021 10:00:00 AM,773,269,1042
402,05/01/2021 10:00:00 AM,744,265,1009
403,05/02/2021 10:00:00 AM,699,261,960
404,05/03/2021 10:00:00 AM,688,265,953
405,05/04/2021 10:00:00 AM,698,246,944
406,05/05/2021 10:00:00 AM,688,246,934
407,05/06/2021 10:00:00 AM,663,238,901
408,05/07/2021 10:00:00 AM,640,219,859
409,05/08/2021 10:00:00 AM,652,217,869
410,05/09/2021 10:00:00 AM,606,216,822
411,05/10/2021 10:00:00 AM,585,213,798
412,05/11/2021 10:00:00 AM,579,220,799
413,05/12/2021 10:00:00 AM,547,223,770
414,05/13/2021 10:00:00 AM,530,200,730
415,05/14/2021 10:00:00 AM,489,191,680
416,05/15/2021 10:00:00 AM,476,177,653
417,05/16/2021 10:00:00 AM,451,161,612
418,05/17/2021 10:00:00 AM,454,159,613
419,05/18/2021 10:00:00 AM,431,165,596
420,05/19/2021 10:00:00 AM,430,155,585
421,05/20/2021 10:00:00 AM,412,143,555
422,05/21/2021 10:00:00 AM,379,142,521
423,05/22/2021 10:00:00 AM,356,134,490
424,05/23/2021 10:00:00 AM,328,126,454
425,05/24/2021 10:00:00 AM,330,118,448
426,05/25/2021 10:00:00 AM,324,118,442
427,05/26/2021 10:00:00 AM,312,120,432
428,05/27/2021 10:00:00 AM,298,101,399
429,05/28/2021 10:00:00 AM,297,100,397
430,05/29/2021 10:00:00 AM,281,94,375
431,05/30/2021 10:00:00 AM,253,93,346
432,05/31/2021 10:00:00 AM,246,87,333
433,06/01/2021 10:00:00 AM,253,83,336
434,06/02/2021 10:00:00 AM,259,86,345
435,06/03/2021 10:00:00 AM,258,89,347
436,06/04/2021 10:00:00 AM,240,78,318
437,06/05/2021 10:00:00 AM,225,77,302
438,06/06/2021 10:00:00 AM,209,74,283
439,06/07/2021 10:00:00 AM,209,67,276
440,06/08/2021 10:00:00 AM,200,75,275
441,06/09/2021 10:00:00 AM,177,66,243
442,06/10/2021 10:00:00 AM,164,63,227
443,06/11/2021 10:00:00 AM,152,60,212
444,06/12/2021 10:00:00 AM,138,54,192
445,06/13/2021 10:00:00 AM,131,52,183
446,06/14/2021 10:00:00 AM,133,54,187
447,06/15/2021 10:00:00 AM,140,54,194
448,06/16/2021 10:00:00 AM,122,45,167
449,06/17/2021 10:00:00 AM,112,45,157
450,06/18/2021 10:00:00 AM,121,41,162
451,06/19/2021 10:00:00 AM,110,43,153
452,06/20/2021 10:00:00 AM,107,43,150
453,06/21/2021 10:00:00 AM,112,41,153
454,06/22/2021 10:00:00 AM,108,38,146
455,06/23/2021 10:00:00 AM,88,37,125
456,06/24/2021 10:00:00 AM,78,41,119
457,06/25/2021 10:00:00 AM,76,39,115
458,06/26/2021 10:00:00 AM,81,35,116
459,06/27/2021 10:00:00 AM,82,30,112
460,06/28/2021 10:00:00 AM,84,31,115
461,06/29/2021 10:00:00 AM,85,30,115
462,06/30/2021 10:00:00 AM,78,29,107
463,07/01/2021 10:00:00 AM,72,32,104
464,07/02/2021 10:00:00 AM,66,31,97
465,07/03/2021 10:00:00 AM,68,32,100
466,07/04/2021 10:00:00 AM,71,33,104
467,07/05/2021 10:00:00 AM,84,34,118
468,07/06/2021 10:00:00 AM,83,36,119
469,07/07/2021 10:00:00 AM,93,40,133
470,07/08/2021 10:00:00 AM,76,35,111
471,07/09/2021 10:00:00 AM,79,34,113
472,07/10/2021 10:00:00 AM,78,37,115
473,07/11/2021 10:00:00 AM,78,42,120
474,07/12/2021 10:00:00 AM,79,43,122
475,07/13/2021 10:00:00 AM,89,45,134
476,07/14/2021 10:00:00 AM,91,46,137
477,07/15/2021 10:00:00 AM,88,44,132
478,07/16/2021 10:00:00 AM,75,45,120
479,07/17/2021 10:00:00 AM,94,40,134
480,07/18/2021 10:00:00 AM,95,36,131
481,07/19/2021 10:00:00 AM,97,41,138
482,07/20/2021 10:00:00 AM,97,42,139
483,07/21/2021 10:00:00 AM,102,44,146
484,07/22/2021 10:00:00 AM,109,43,152
485,07/23/2021 10:00:00 AM,117,46,163
486,07/24/2021 10:00:00 AM,114,45,159
487,07/25/2021 10:00:00 AM,135,38,173
488,07/26/2021 10:00:00 AM,131,37,168
489,07/27/2021 10:00:00 AM,140,49,189
490,07/28/2021 10:00:00 AM,152,56,208
491,07/29/2021 10:00:00 AM,160,55,215
492,07/30/2021 10:00:00 AM,164,58,222
493,07/31/2021 10:00:00 AM,165,66,231
494,08/01/2021 10:00:00 AM,184,72,256
495,08/02/2021 10:00:00 AM,202,79,281
496,08/03/2021 10:00:00 AM,226,83,309
497,08/04/2021 10:00:00 AM,243,82,325
498,08/05/2021 10:00:00 AM,250,87,337
499,08/06/2021 10:00:00 AM,261,84,345
500,08/07/2021 10:00:00 AM,270,95,365
501,08/08/2021 10:00:00 AM,280,94,374
502,08/09/2021 10:00:00 AM,302,98,400
503,08/10/2021 10:00:00 AM,324,100,424
504,08/11/2021 10:00:00 AM,350,106,456
505,08/12/2021 10:00:00 AM,368,122,490
506,08/13/2021 10:00:00 AM,369,123,492
507,08/14/2021 10:00:00 AM,387,135,522
508,08/15/2021 10:00:00 AM,413,133,546
509,08/16/2021 10:00:00 AM,447,129,576
510,08/17/2021 10:00:00 AM,461,150,611
511,08/18/2021 10:00:00 AM,488,142,630
512,08/19/2021 10:00:00 AM,488,155,643
513,08/20/2021 10:00:00 AM,497,159,656
514,08/21/2021 10:00:00 AM,496,159,655
515,08/22/2021 10:00:00 AM,481,166,647
516,08/23/2021 10:00:00 AM,538,160,698
517,08/24/2021 10:00:00 AM,556,163,719
518,08/25/2021 10:00:00 AM,532,177,709
519,08/26/2021 10:00:00 AM,537,183,720
520,08/27/2021 10:00:00 AM,535,176,711
521,08/28/2021 10:00:00 AM,510,180,690
522,08/29/2021 10:00:00 AM,505,174,679
523,08/30/2021 10:00:00 AM,536,169,705
524,08/31/2021 10:00:00 AM,571,173,744
525,09/01/2021 10:00:00 AM,595,179,774
526,09/02/2021 10:00:00 AM,607,171,778
527,09/03/2021 10:00:00 AM,631,181,812
528,09/04/2021 10:00:00 AM,630,190,820
529,09/05/2021 10:00:00 AM,623,186,809
530,09/06/2021 10:00:00 AM,609,171,780
531,09/07/2021 10:00:00 AM,627,190,817
532,09/08/2021 10:00:00 AM,606,211,817
533,09/09/2021 10:00:00 AM,603,213,816
534,09/10/2021 10:00:00 AM,613,217,830
535,09/11/2021 10:00:00 AM,608,214,822
536,09/12/2021 10:00:00 AM,595,214,809
537,09/13/2021 10:00:00 AM,597,205,802
538,09/14/2021 10:00:00 AM,622,206,828
539,09/15/2021 10:00:00 AM,602,217,819
540,09/16/2021 10:00:00 AM,593,211,804
541,09/17/2021 10:00:00 AM,586,206,792
542,09/18/2021 10:00:00 AM,571,217,788
